date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
2014-06-18 00:00:00,371097.5068084388,4.0,2.05,2530,2600,2.0,0,0,3,2228,1177,1986,2004,2108 NE 54th St,Seattle,WA 98074,USA
2014-05-28 00:00:00,358156.14458039636,2.0,2.77,1046,45671,1.0,0,0,3,1038,3,1914,1982,2616 174th Ave NE,Fall City,WA 98001,USA
2014-06-02 00:00:00,60306.04642628494,3.0,2.47,780,1444,1.0,0,0,3,1221,0,1953,1989,19211 SE 342nd St,Seattle,WA 98003,USA
2014-05-08 00:00:00,125027.7238339014,2.0,1.75,629,5068,1.0,0,0,3,1006,0,1911,1990,1330 N Lucas Pl,Kirkland,WA 98056,USA
2014-05-16 00:00:00,340265.75394796045,4.0,2.08,2461,3677,2.0,0,3,3,957,4,1977,12,1309 SW Webster St,Issaquah,WA 98014,USA
2014-05-08 00:00:00,312382.6374547249,4.0,2.52,1917,7577,2.0,0,0,3,1817,0,1987,30,4801-4999 229th Ave SE,Renton,WA 98039,USA
2014-06-09 00:00:00,301445.9077796847,2.0,1.75,958,4292,1.0,0,0,3,852,574,1921,9,8830 Midvale Ave N,Seattle,WA 98103,USA
2014-05-16 00:00:00,135050.19026713545,4.0,2.49,1217,4301,2.0,0,0,5,884,0,1981,13,14217 SE 144th St,Des Moines,WA 98006,USA
2014-05-16 00:00:00,232654.1122231656,4.0,3.46,2866,6582,2.0,0,4,3,3554,6,1980,28,5537 S 119th St,Sammamish,WA 98133,USA
2014-06-26 00:00:00,464771.7199611512,4.0,1.5,2218,797,2.0,1,2,2,3141,622,1965,2014,7358 28th Ave SW,Seattle,WA 98029,USA
2014-06-20 00:00:00,734815.8251313939,3.0,3.49,2407,13708,2.0,0,2,4,4194,2,2006,5,12034 NE 67th St,Seattle,WA 98075,USA
2014-06-24 00:00:00,1832117.0109775153,4.0,2.73,3240,6129,2.0,0,4,4,1747,0,1947,5,13738 SE 199th Pl,Bothell,WA 98006,USA
2014-05-10 00:00:00,854124.671076012,4.0,2.48,3087,17353,2.0,0,0,3,3664,0,1957,2003,1524 30th Ave,North Bend,WA 98051,USA
2014-06-17 00:00:00,1292197.9913137653,4.0,2.51,3333,6874,2.0,0,2,3,2122,1024,2005,0,1321 208th Ave NE,Sammamish,WA 98023,USA
2014-06-13 00:00:00,389782.8744484578,4.0,2.53,2934,3772,2.0,0,3,3,2631,3,1979,0,3118 264th Ave NE,Bellevue,WA 98030,USA
2014-06-27 00:00:00,812531.6081094445,4.0,2.08,1924,7896,1.0,0,0,4,1533,0,1982,10,27728 SE 268th St,Bellevue,WA 98198,USA
2014-05-14 00:00:00,433647.23819570633,3.0,1.73,1303,4137,1.0,0,0,3,1078,0,1956,11,26418 NE Anderson St,Seattle,WA 98168,USA
2014-05-10 00:00:00,635714.5403372643,4.0,2.52,2477,1478,2.0,0,2,3,1687,1,2002,0,4022 SW Walker St,Bellevue,WA 98008,USA
2014-05-08 00:00:00,197143.0398607733,7.0,2.16,1640,5072,1.0,0,2,3,1641,732,1941,4,21603 NE 29th St,Kenmore,WA 98005,USA
2014-07-10 00:00:00,345622.9369114498,3.0,2.49,1258,9912,1.5,0,0,3,1630,0,1989,1974,472-598 Lind Ave NW,Enumclaw,WA 98077,USA
2014-05-20 00:00:00,221158.4992800412,3.0,1.39,835,959,1.5,0,0,3,1337,0,1910,16,5524 S Morgan St,Seattle,WA 98042,USA
2014-07-02 00:00:00,278974.17815862084,4.0,2.21,1935,9242,1.0,0,0,4,2598,0,1957,9,3010 S Holden St,Seattle,WA 98029,USA
2014-05-20 00:00:00,285600.96634445235,4.0,2.49,3659,2234,2.0,0,2,3,1376,0,2002,18,9526 S 221st Pl,Woodinville,WA 98155,USA
2014-05-28 00:00:00,605185.1459934065,3.0,0.99,979,8181,2.0,0,0,3,1149,0,1960,0,19584-19766 Meridian Ave N,Kent,WA 98103,USA
2014-06-18 00:00:00,159750.02970122942,2.0,1.94,866,2717,1.0,0,0,3,1069,0,1933,2014,227 W Park St,Bellevue,WA 98117,USA
2014-07-08 00:00:00,252555.46680457913,4.0,2.14,1504,5378,1.5,0,0,3,1594,1320,1980,2012,15210 Mink Rd NE,Federal Way,WA 98199,USA
2014-06-03 00:00:00,481294.4392081943,4.0,2.33,4301,6663,2.0,0,0,3,2338,0,1989,0,2827 43rd Ave W,Bellevue,WA 98188,USA
2014-05-07 00:00:00,234886.16134224937,2.0,1.53,2574,6008,1.0,0,0,4,951,0,1954,0,19807 330th Ave NE,Bellevue,WA 98103,USA
2014-06-02 00:00:00,325314.4594882986,4.0,2.51,2275,5286,2.0,0,0,3,2768,8,1942,1999,14904 133rd Ave SE,Carnation,WA 98117,USA
2014-06-11 00:00:00,281663.284853607,3.0,1.71,724,7038,1.0,0,0,3,1019,0,1950,1992,125 N Bowdoin Pl,Seattle,WA 98039,USA
2014-06-19 00:00:00,662232.3588488736,3.0,2.08,1985,6980,1.0,0,0,4,1351,472,1963,1967,315 NW 183rd St,Maple Valley,WA 98198,USA
2014-06-07 00:00:00,694281.9209438202,4.0,2.73,2731,204594,2.0,0,0,3,2085,3,1987,0,6511 37th Ave NE,Normandy Park,WA 98072,USA
2014-06-30 00:00:00,413662.255392337,3.0,2.14,1267,23930,1.0,0,0,3,1454,0,1978,1998,5160 235th Pl SE,Pacific,WA 98005,USA
2014-05-09 00:00:00,267232.6551144859,3.0,2.72,1207,638,1.5,0,0,3,1508,0,1960,3,9288-9358 Holman Rd NW,Seattle,WA 98103,USA
2014-05-21 00:00:00,670226.9543479907,4.0,2.09,2850,7892,2.0,0,0,3,2598,0,1988,2004,1309 SW Webster St,Kirkland,WA 98033,USA
2014-05-28 00:00:00,200927.21959342834,3.0,1.94,897,638,1.5,0,0,3,923,0,1915,0,30929 NE Cherry Valley Rd,Seattle,WA 98008,USA
2014-05-28 00:00:00,311065.2784439607,1.0,0.99,1762,5452,1.0,0,0,5,1306,112,1953,9,43404 SE 76th St,Federal Way,WA 98070,USA
2014-05-22 00:00:00,215171.33209336016,4.0,1.95,1111,2855,1.0,0,1,3,938,817,1900,2009,313 Mt Baker Pl NE,Seattle,WA 98103,USA
2014-06-04 00:00:00,346050.1310635335,2.0,2.23,1750,801,1.0,0,3,3,823,0,1943,0,6730 SE 5th St,Seattle,WA 98011,USA
2014-07-08 00:00:00,340416.8883947616,2.0,2.76,1763,6974,1.0,0,0,3,1142,0,1917,0,6255 4th Ave NW,Seattle,WA 98144,USA
2014-07-07 00:00:00,286846.61358849594,3.0,1.75,1491,9621,1.5,0,0,3,1181,0,1965,2007,23444 10th Ave S,Burien,WA 98001,USA
2014-06-26 00:00:00,781376.98782764,3.0,2.09,1988,5974,1.0,0,0,3,913,1118,1973,1999,3534 46th Ave NE,Seattle,WA 98052,USA
2014-06-18 00:00:00,258989.37174920924,4.0,1.0,899,5258,1.0,0,0,4,1133,0,1902,1999,1805 154th Ave SE,Carnation,WA 98055,USA
2014-06-05 00:00:00,663244.796906711,2.0,2.09,2690,32470,2.0,0,0,3,3871,678,2005,1994,1703 NW 200th Ln,Sammamish,WA 98074,USA
2014-05-21 00:00:00,269033.7637106721,3.0,2.19,1646,9009,2.0,0,0,3,974,971,1991,2005,7021 24th Ave NW,Seattle,WA 98008,USA
2014-06-11 00:00:00,244742.34038557726,5.0,2.08,1569,9085,2.0,0,0,3,3041,537,1986,1994,18808 215th Way NE,Federal Way,WA 98056,USA
2014-05-21 00:00:00,294719.51964246616,3.0,2.08,3253,3000,1.0,0,0,3,1147,0,1971,22,17435 SE 47th St,Seattle,WA 98008,USA
2014-05-14 00:00:00,260518.78961189504,2.0,1.49,719,2035,1.0,0,0,3,949,0,1940,0,1700 E Columbia St,Redmond,WA 98014,USA
2014-05-28 00:00:00,445388.2003181884,3.0,2.1,1526,7452,1.0,0,2,3,1429,0,1958,1985,9640 NE 32nd St,Seattle,WA 98003,USA
2014-05-08 00:00:00,2285586.4968319056,4.0,2.51,6720,7245,2.0,0,4,3,2843,0,1985,5,9400 SE 47th St,Sammamish,WA 98107,USA
2014-06-25 00:00:00,547254.4880913242,4.0,2.52,4505,6144,2.0,0,2,3,2958,0,2003,0,600 Jefferson Ave NE,Sammamish,WA 98105,USA
2014-06-25 00:00:00,872220.8972242614,5.0,2.51,2187,261123,2.0,0,4,4,1906,0,1947,3,7220 NE 152nd Pl,Sammamish,WA 98105,USA
2014-05-23 00:00:00,456495.61385300907,4.0,2.75,4178,5313,2.0,0,3,3,2335,875,2002,0,1327 S 277th Pl,Seattle,WA 98006,USA
2014-06-05 00:00:00,263145.2356909935,4.0,2.5,1351,3314,1.0,0,2,4,1277,130,1951,0,1019 S 22nd Ct,Seattle,WA 98155,USA
2014-06-19 00:00:00,1332127.3937286856,4.0,2.17,3467,25276,1.0,1,0,3,1027,874,1967,1978,17122 NE 117th St,Newcastle,WA 98008,USA
2014-05-23 00:00:00,258633.53729486786,3.0,1.74,1353,8645,1.0,0,0,4,951,0,1938,6,13009 NE 74th St,Bellevue,WA 98103,USA
2014-05-05 00:00:00,101032.99902511004,4.0,2.49,1237,638,2.0,0,0,3,2270,2,1975,2002,22500-22614 16th Ave S,Enumclaw,WA 98115,USA
2014-05-28 00:00:00,552533.3567074634,4.0,3.21,1467,3926,1.5,0,2,3,1168,503,1948,1994,716 W Etruria St,Kirkland,WA 98070,USA
2014-05-06 00:00:00,2392576.239430087,3.0,2.48,3292,47134,2.0,0,3,3,4279,1,1983,7,2496-2598 S 121st St,Bellevue,WA 98058,USA
2014-05-14 00:00:00,325008.3073394211,3.0,2.06,1027,2834,1.0,0,0,3,1553,0,1965,9,6527 41st Ave SW,Seattle,WA 98133,USA
2014-06-26 00:00:00,213297.79324723667,4.0,2.18,2238,3901,1.0,0,0,3,1119,0,1912,1,1126 NW 58th St,Seattle,WA 98042,USA
2014-05-06 00:00:00,97036.98525324179,4.0,1.73,748,7625,1.5,0,0,4,1267,0,1958,1964,12521 3rd Ave NW,Des Moines,WA 98133,USA
2014-06-12 00:00:00,239963.05645181387,4.0,1.47,1129,5948,2.0,0,0,3,1642,689,1911,2014,232nd Way,Seattle,WA 98119,USA
2014-05-14 00:00:00,142730.82791815765,2.0,0.99,1047,4653,1.0,0,0,4,1045,0,1914,0,2646 168th Ave SE,Seattle,WA 98023,USA
2014-06-18 00:00:00,365095.34522392455,3.0,1.75,2301,13202,1.0,0,0,5,1616,0,1964,12,1309 SW Webster St,Bellevue,WA 98007,USA
2014-07-10 00:00:00,236601.65354290453,4.0,2.47,1423,4031,2.0,0,0,3,1653,0,1988,1995,7220 NE 152nd Pl,Kent,WA 98042,USA
2014-05-21 00:00:00,197932.81400212966,2.0,2.04,613,3101,1.0,0,0,4,1077,0,1961,1990,12701 2nd Ave SW,Seattle,WA 98112,USA
2014-05-20 00:00:00,151978.07266530883,4.0,2.15,1688,8303,1.0,0,0,3,1495,0,1955,2003,2113 15th Ave S,Burien,WA 98117,USA
2014-06-30 00:00:00,2470377.5693642665,4.0,2.54,5679,6016,2.0,0,2,3,4023,13,1999,0,2653 46th Ave SW,Issaquah,WA 98075,USA
2014-05-27 00:00:00,645727.488179269,4.0,2.51,3720,213698,1.0,0,0,4,1685,1030,1984,0,21438 SE 277th St,Bellevue,WA 98125,USA
2014-05-30 00:00:00,267011.8852378002,3.0,2.49,1713,2534,1.5,0,0,5,1905,1090,1982,1,1109 N 28th Pl,Kent,WA 98144,USA
2014-06-06 00:00:00,358888.5194339459,4.0,2.51,969,2618,1.0,0,0,3,1529,0,1962,0,1805 154th Ave SE,Bellevue,WA 98075,USA
2014-06-26 00:00:00,575663.0455987726,4.0,2.52,3257,6018,2.0,0,0,3,2922,751,1978,15,8548 18th Ave NW,Seattle,WA 98004,USA
2014-05-21 00:00:00,335241.2177139378,4.0,3.27,1350,3945,2.0,0,2,3,1887,0,1964,7,5237 Martin Luther King Jr Way S,Issaquah,WA 98042,USA
2014-05-07 00:00:00,379958.9026511885,4.0,2.08,1193,5561,3.0,0,0,5,1160,726,1939,4,15017-15023 NE 144th St,Black Diamond,WA 98115,USA
2014-06-06 00:00:00,264630.59867755993,2.0,2.08,1459,4979,2.0,0,0,3,1076,0,1974,12,11619 SE 200th St,Auburn,WA 98119,USA
2014-06-24 00:00:00,301641.9440623097,4.0,2.13,1953,34054,2.0,0,0,3,1305,450,1955,0,8202 37th Ave SW,Seattle,WA 98059,USA
2014-05-23 00:00:00,953712.1113662887,4.0,2.09,3143,6034,2.0,0,3,3,3030,1,1990,21,10721 Marine View Dr SW,Maple Valley,WA 98074,USA
2014-06-05 00:00:00,275957.1079983568,3.0,0.98,927,5251,1.0,0,0,4,1646,0,1972,3,21013 NE 60th Pl,Seattle,WA 98042,USA
2014-05-05 00:00:00,151424.68932257805,3.0,2.48,1823,2857,2.0,0,0,3,1685,0,1999,2,25826 19th Ave S,Burien,WA 98028,USA
2014-07-04 00:00:00,10956.771022277942,3.0,2.7,1439,4603,2.9,0,3,3,1574,0,1953,0,916 4th Ave NE,Kent,WA 98133,USA
2014-05-09 00:00:00,690690.4936542917,4.0,2.0,2629,36662,2.0,0,3,3,1239,2,1978,2014,18500-18560 58th Ave NE,Kenmore,WA 98029,USA
2014-06-19 00:00:00,485754.4966574696,4.0,2.52,4565,5989,2.0,0,3,3,3514,8,2005,5,35019 SE Curtis Dr,Renton,WA 98008,USA
2014-05-08 00:00:00,303889.2997323501,3.0,2.02,1702,5798,2.0,0,0,3,614,123,1919,0,1816 2nd Ave N,Seattle,WA 98053,USA
2014-06-03 00:00:00,422942.2497985582,3.0,2.02,1961,4092,1.5,0,3,3,1149,0,1955,2012,4511 S 262nd St,Auburn,WA 98155,USA
2014-06-03 00:00:00,627820.2955086388,4.0,1.74,1860,8272,1.0,0,0,4,1133,198,1988,0,18021 24th Ave NE,Seattle,WA 98058,USA
2014-05-06 00:00:00,385072.57544490136,4.0,2.5,2434,3959,2.0,0,0,4,2334,0,1999,0,24204-24298 142nd Ave SE,Woodinville,WA 98072,USA
2014-06-25 00:00:00,2861965.2898902437,4.0,2.52,3134,41858,2.0,0,0,3,3433,4,1915,8,5726 28th Ave NE,Mercer Island,WA 98004,USA
2014-05-20 00:00:00,382244.26658365544,4.0,2.49,2265,12785,1.5,0,0,3,1330,0,1987,1998,510 N 70th St,Seattle,WA 98040,USA
2014-06-10 00:00:00,680059.6261233923,3.0,2.51,5335,6350,2.0,1,4,3,3966,1,1917,20,3036-3040 36th Ave SW,Seattle,WA 98027,USA
2014-07-02 00:00:00,232586.83359790448,5.0,2.07,1486,6185,1.0,0,0,3,1429,0,1954,0,6720 4th Ave NW,Seattle,WA 98107,USA
2014-06-13 00:00:00,198044.49693059124,2.0,1.76,696,3323,1.0,0,2,3,1003,0,1956,0,208 N St NE,Seattle,WA 98002,USA
2014-06-18 00:00:00,120299.06153235555,4.0,2.9,1196,34800,1.5,0,0,4,1244,2,1958,7,916 4th Ave NE,Seattle,WA 98136,USA
2014-06-04 00:00:00,279821.26600271714,4.0,1.73,2178,7286,2.0,0,3,3,3696,876,1970,1999,6310 Fairway Pl SE,Seattle,WA 98133,USA
2014-05-05 00:00:00,321936.6660809431,3.0,2.1,1355,9473,1.0,0,0,3,1190,746,1930,0,2496-2598 S 121st St,Seattle,WA 98052,USA
2014-06-25 00:00:00,518308.7971093265,4.0,2.51,3049,210427,2.0,0,0,4,1777,0,2003,0,4714 Thackeray Pl NE,Issaquah,WA 98045,USA
2014-06-30 00:00:00,519184.71907491144,3.0,2.25,2299,8189,2.0,0,2,4,1819,0,2010,0,331 22nd Ave E,Seattle,WA 98155,USA
2014-06-19 00:00:00,333068.3224979765,4.0,2.5,3540,34351,2.0,0,0,3,4222,2,2004,1989,42809 260th Ave SE,Tukwila,WA 98047,USA
2014-05-27 00:00:00,413466.71668875404,3.0,4.28,2896,8123,2.0,0,2,3,1884,0,1972,1973,2505 42nd Ave W,Vashon,WA 98006,USA
2014-05-12 00:00:00,153630.86996811576,2.0,2.03,638,7078,1.0,0,0,3,867,0,1950,4,33134 3rd Ct SW,Seattle,WA 98027,USA
2014-05-12 00:00:00,446459.0371916065,2.0,1.47,1119,7313,1.5,0,0,5,1041,630,1990,12,21438 SE 277th St,Seattle,WA 98011,USA
2014-06-21 00:00:00,451746.8334980811,4.0,2.17,3407,638,2.0,0,0,4,4418,0,1994,0,38205 45th Ave S,Bellevue,WA 98133,USA
2014-06-13 00:00:00,378566.75046861725,3.0,2.54,1556,2944,2.9,0,0,3,1429,301,1984,2005,5038 48th Ave NE,Seattle,WA 98133,USA
2014-06-09 00:00:00,800710.0557616832,4.0,2.48,2881,638,2.0,0,0,3,2864,0,1988,1991,34823 Rhododendron Dr SE,Redmond,WA 98178,USA
2014-05-27 00:00:00,393811.71258204227,3.0,3.11,2016,5480,1.0,0,0,3,2007,0,1952,3,12526 SE 232nd St,Burien,WA 98188,USA
2014-06-11 00:00:00,1089982.66133263,3.0,2.16,3578,141994,2.0,0,0,4,2494,0,1913,1,315 NW 183rd St,Seattle,WA 98040,USA
2014-07-08 00:00:00,280742.7861548346,2.0,0.97,3420,6267,2.0,0,0,3,1748,928,1982,10,8308 NE 176th Pl,Seattle,WA 98115,USA
2014-05-07 00:00:00,517390.1446590795,2.0,3.61,1341,5368,1.0,0,0,4,1143,407,1960,7,3907 S Edmunds St,Bellevue,WA 98010,USA
2014-05-23 00:00:00,394174.1901507564,4.0,2.49,2526,912,2.0,0,3,3,2289,0,1984,0,5641-5645 6th Ave NW,Seattle,WA 98006,USA
2014-06-13 00:00:00,417421.6658058561,3.0,2.52,2322,58895,2.0,0,2,3,3320,1291,1958,0,3212 E Terrace St,Bellevue,WA 98053,USA
2014-06-27 00:00:00,263967.37929558725,4.0,2.11,2008,9138,1.0,0,0,3,1144,999,1990,5,17619 197th Ave NE,Kenmore,WA 98105,USA
2014-05-12 00:00:00,1057979.0123388306,4.0,2.5,2028,5739,1.0,0,0,3,1006,842,1977,2014,639 NW 52nd St,Kirkland,WA 98136,USA
2014-06-04 00:00:00,361112.2614800356,2.0,2.21,1729,9724,1.0,0,0,3,1166,0,1979,1997,3022 254th Ave SE,Des Moines,WA 98033,USA
2014-06-20 00:00:00,192965.4319881813,4.0,2.12,1108,3796,2.0,0,0,3,968,493,1963,2014,11131 SE 183rd Pl,Woodinville,WA 98022,USA
2014-05-08 00:00:00,768502.0840243814,4.0,2.17,2388,4794,2.0,0,0,3,1094,621,2007,17,17736 41st Ave S,Maple Valley,WA 98122,USA
2014-06-19 00:00:00,655092.9922938863,4.0,3.42,2602,3426,2.0,0,0,3,3875,863,2002,0,1614 32nd Ave,Covington,WA 98052,USA
2014-07-04 00:00:00,886329.8747563467,4.0,2.49,2466,49713,2.0,0,0,3,3009,575,1948,6,32704 33rd Ave SW,Redmond,WA 98077,USA
2014-06-19 00:00:00,784926.5240459364,3.0,0.98,1502,39785,1.5,0,0,4,1125,742,1980,16,2646 168th Ave SE,Renton,WA 98198,USA
2014-05-16 00:00:00,1116638.0308839525,4.0,2.51,4212,4907,2.0,0,0,3,3412,954,1999,1,10599 Marine View Dr SW,Sammamish,WA 98011,USA
2014-06-20 00:00:00,345772.8605212107,4.0,2.51,3041,3882,2.0,0,0,3,2621,0,2005,2,9037 NE 132nd Pl,Seattle,WA 98056,USA
2014-06-17 00:00:00,307294.56815188413,4.0,2.07,1749,1652,1.5,0,0,3,1783,3,1911,1999,14904 133rd Ave SE,Seattle,WA 98031,USA
2014-07-01 00:00:00,1125950.1482479463,3.0,2.49,2915,7082,2.0,0,0,3,3029,0,1978,0,25828 243rd Ave SE,Clyde Hill,WA 98023,USA
2014-06-03 00:00:00,891578.0666644834,4.0,1.56,3326,1145,2.0,0,0,3,2848,578,1986,1980,5537 S 119th St,Seattle,WA 98178,USA
2014-05-27 00:00:00,383376.8830643501,3.0,2.48,1239,5682,1.5,0,0,2,2269,0,1975,0,14020 Meridian Ave N,Issaquah,WA 98107,USA
2014-05-15 00:00:00,267318.6038620103,4.0,2.51,3001,6187,1.5,0,0,3,1881,0,2004,1972,4810 S Raymond St,Seattle,WA 98042,USA
2014-05-27 00:00:00,218828.7878317578,4.0,0.95,1048,4978,1.5,0,0,4,1328,546,1948,0,1015 36th Ave E,Seattle,WA 98007,USA
2014-05-28 00:00:00,717028.9379556008,3.0,2.03,3074,6018,1.0,0,0,3,1169,366,1994,16,8520 19th Ave NW,Seattle,WA 98053,USA
2014-05-22 00:00:00,1031471.3876574549,4.0,2.5,3962,4828,2.0,0,0,3,2073,0,1999,1963,23309 115th Pl SE,Seattle,WA 98056,USA
2014-05-02 00:00:00,378518.7784260152,4.0,3.24,2492,7305,1.5,0,0,3,3689,3,1951,2014,7021 24th Ave NW,Bellevue,WA 98105,USA
2014-05-12 00:00:00,1457391.945816569,4.0,2.52,2816,5148,2.0,0,2,3,2183,741,2001,0,1447 21st Ave,Sammamish,WA 98188,USA
2014-05-04 00:00:00,266808.00478358206,4.0,2.5,2406,6412,2.0,0,0,3,1618,0,1971,3,16327 Inglewood Pl NE,Issaquah,WA 98006,USA
2014-06-25 00:00:00,269776.77358475723,3.0,0.99,1744,5205,2.0,0,0,5,1749,0,1958,5,330 NW 50th St,Seattle,WA 98052,USA
2014-06-23 00:00:00,557768.3494460589,3.0,2.05,1568,3824,1.0,0,0,3,1094,1299,1970,2014,5524 S Morgan St,Seattle,WA 98074,USA
2014-07-01 00:00:00,360895.05281356955,2.0,2.01,2174,29851,1.0,0,0,3,1784,0,1988,0,3704 W Lawton St,Sammamish,WA 98105,USA
2014-05-16 00:00:00,180378.29813701508,6.0,2.13,2367,5650,1.0,0,0,5,839,0,1913,1968,13711 SE 251 Pl,Woodinville,WA 98033,USA
2014-05-20 00:00:00,311011.6370330885,4.0,2.07,1662,5384,1.0,0,0,3,1173,5,1954,15,6730 SE 5th St,Seattle,WA 98052,USA
2014-05-05 00:00:00,225526.8140173687,4.0,2.67,1376,5529,1.5,0,0,3,1149,0,1954,2002,4532 185th Ave SE,Seattle,WA 98116,USA
2014-05-19 00:00:00,227177.42218195862,3.0,2.15,1188,7005,1.0,0,0,4,2595,0,1956,10,2721-3279 Lake Washington Blvd S,Covington,WA 98122,USA
2014-05-31 00:00:00,269121.4213311656,5.0,2.06,1235,5274,2.0,0,0,3,2541,0,1955,0,8830 Midvale Ave N,SeaTac,WA 98072,USA
2014-07-08 00:00:00,375283.1073678443,4.0,2.08,2274,36425,2.0,1,2,3,3374,0,2002,17,11619 SE 200th St,Kent,WA 98074,USA
2014-07-01 00:00:00,957895.9388906531,4.0,2.23,3445,5598,2.0,0,2,3,3058,2,1995,0,2505 42nd Ave W,Kirkland,WA 98034,USA
2014-06-09 00:00:00,256443.75286665233,2.0,3.11,2846,6742,1.5,0,0,3,1011,0,1958,1993,318 E Mercer St,Kirkland,WA 98011,USA
2014-06-30 00:00:00,151545.86309388623,4.0,1.74,1070,6230,1.0,0,0,3,1319,0,1948,15,4001 42nd Ave S,Kent,WA 98027,USA
2014-05-23 00:00:00,321503.5902614842,2.0,2.11,2063,5517,2.0,0,2,3,1876,1299,1924,0,2125 NE 6th Cir,Seattle,WA 98040,USA
2014-06-23 00:00:00,556416.2908728772,4.0,2.48,1898,638,2.0,0,2,3,2244,0,1988,3,30221 8th Ave S,Sammamish,WA 98034,USA
2014-05-28 00:00:00,285698.8445424991,4.0,2.72,1756,5933,2.0,0,0,3,1670,1,1980,2004,3319 S 262nd St,Seattle,WA 98112,USA
2014-05-28 00:00:00,114908.20367670426,3.0,1.69,507,1009,1.5,0,0,4,900,0,1947,0,26418 NE Anderson St,Seattle,WA 98006,USA
2014-05-23 00:00:00,238917.7349454547,4.0,3.11,1695,2077,1.0,0,0,3,1235,103,1919,0,1621 56th Ct SE,Seattle,WA 98126,USA
2014-05-16 00:00:00,571510.2593648407,4.0,2.73,4179,5706,2.0,0,0,3,1509,1851,1956,0,6527 41st Ave SW,Bellevue,WA 98070,USA
2014-06-19 00:00:00,199176.56944204893,4.0,2.11,2718,3571,1.0,0,0,5,1998,328,1947,7,1422 S 282nd Pl,Seattle,WA 98059,USA
2014-05-02 00:00:00,226112.0644753694,3.0,2.1,1604,4376,1.0,0,0,3,1673,590,1970,0,2146 NE Nelson Ln,Kent,WA 98010,USA
2014-05-12 00:00:00,293240.1801921501,4.0,2.48,740,2700,1.5,0,0,3,1307,0,1940,0,2940 72nd Ave SE,Kent,WA 98117,USA
2014-05-16 00:00:00,332096.1047973004,2.0,2.09,1733,9087,1.0,0,1,4,1802,4,1956,21,21438 SE 277th St,Bellevue,WA 98027,USA
2014-05-19 00:00:00,219394.18945671013,2.0,1.75,768,1082,1.0,0,0,2,869,0,1904,2014,7220 NE 152nd Pl,Seattle,WA 98112,USA
2014-05-14 00:00:00,284383.1289962969,4.0,2.02,2531,3120,2.0,0,0,4,1128,0,1969,7,3467 Meridian Ave N,Seattle,WA 98052,USA
