Data ItemWise Report for - Telangana,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68
,1.2.2,Number of PW given TT2,TOTAL,1496,1496,,287,1209,1540,1540,,314,1226,1316,1316,,268,1048,1501,1501,,273,1228,1183,1183,,241,942,1054,1054,,250,804,1173,1173,,217,956,1102,1102,,242,860,1092,1092,,168,924,993,993,,147,846,1020,1020,,161,859,1147,1147,,184,963,14617,14617,,2752,11865
,1.2.3,Number of PW given TT Booster,TOTAL,191,191,,38,153,64,64,,7,57,91,91,,8,83,105,105,,10,95,104,104,,12,92,65,65,,12,53,68,68,,0,68,101,101,,1,100,57,57,,0,57,77,77,,0,77,87,87,,0,87,77,77,,0,77,1087,1087,,88,999
,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1334,1334,,318,1016,1214,1214,,296,918,1335,1335,,342,993,1332,1332,,337,995,1089,1089,,248,841,1102,1102,,220,882,1145,1145,,229,916,1300,1300,,250,1050,997,997,,173,824,1056,1056,,165,891,1059,1059,,181,878,1003,1003,,177,826,13966,13966,,2936,11030
,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,1072,1072,,284,788,945,945,,262,683,1086,1086,,310,776,992,992,,243,749,819,819,,182,637,946,946,,220,726,916,916,,213,703,1083,1083,,250,833,864,864,,173,691,875,875,,165,710,882,882,,181,701,765,765,,177,588,11245,11245,,2660,8585
,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,278,278,,47,231,226,226,,32,194,402,402,,28,374,327,327,,39,288,206,206,,0,206,308,308,,0,308,418,418,,0,418,428,428,,0,428,464,464,,0,464,380,380,,0,380,489,489,,0,489,518,518,,0,518,4444,4444,,146,4298
,1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,1060,1060,,258,802,1038,1038,,226,812,1172,1172,,281,891,1201,1201,,257,944,1049,1049,,213,836,1064,1064,,198,866,992,992,,230,762,1045,1045,,207,838,846,846,,155,691,880,880,,161,719,762,762,,102,660,843,843,,142,701,11952,11952,,2430,9522
,1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,40,40,,0,40,56,56,,0,56,77,77,,0,77,93,93,,0,93,38,38,,0,38,78,78,,0,78,105,105,,0,105,80,80,,0,80,74,74,,0,74,89,89,,0,89,72,72,,0,72,66,66,,0,66,868,868,,0,868
,1.3.1,New cases of PW with hypertension detected,TOTAL,12,12,,10,2,10,10,,0,10,12,12,,0,12,30,30,,0,30,2,2,,0,2,0,0,,0,0,2,2,,0,2,29,29,,0,29,12,12,,0,12,21,21,,0,21,11,11,,0,11,14,14,,0,14,155,155,,10,145
,1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,41,41,,41,0,6,6,,0,6,7,7,,0,7,13,13,,0,13,6,6,,0,6,6,6,,0,6,15,15,,0,15,26,26,,0,26,12,12,,0,12,26,26,,0,26,17,17,,0,17,25,25,,0,25,200,200,,41,159
,1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,10,10,,10,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,2,2,,0,2,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,12,12,,10,2
,1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,1413,1413,,79,1334,1440,1440,,57,1383,1472,1472,,30,1442,1505,1505,,38,1467,1065,1065,,30,1035,1246,1246,,34,1212,1204,1204,,90,1114,1240,1240,,0,1240,1067,1067,,0,1067,1147,1147,,0,1147,955,955,,0,955,1159,1159,,0,1159,14913,14913,,358,14555
,1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,1235,1235,,115,1120,1135,1135,,91,1044,1262,1262,,61,1201,1139,1139,,73,1066,864,864,,95,769,970,970,,110,860,872,872,,88,784,1001,1001,,90,911,870,870,,41,829,881,881,,35,846,799,799,,44,755,1030,1030,,53,977,12058,12058,,896,11162
,1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,85,85,,0,85,57,57,,0,57,74,74,,1,73,111,111,,0,111,42,42,,1,41,43,43,,1,42,73,73,,2,71,121,121,,0,121,58,58,,0,58,59,59,,0,59,59,59,,0,59,48,48,,0,48,830,830,,5,825
,1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,7,7,,0,7,25,25,,0,25,9,9,,1,8,39,39,,0,39,13,13,,0,13,12,12,,0,12,16,16,,1,15,16,16,,0,16,13,13,,0,13,9,9,,0,9,3,3,,0,3,15,15,,0,15,177,177,,2,175
,1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,10,10,,0,10,111,111,,49,62,152,152,,0,152,79,79,,0,79,284,284,,0,284,183,183,,0,183,36,36,,0,36,35,35,,0,35,74,74,,0,74,65,65,,0,65,67,67,,0,67,66,66,,0,66,1162,1162,,49,1113
,1.5.2,Number of PW tested positive for GDM,TOTAL,17,17,,0,17,0,0,,0,0,0,0,,0,0,0,0,,0,0,66,66,,66,0,0,0,,0,0,2,2,,0,2,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,85,85,,66,19
,1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0
,1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,0,0,,,0,0,0,,,0,9,9,,,9,17,17,,,17,12,12,,,12,0,0,,,0,7,7,,,7,7,7,,,7,0,0,,,0,0,0,,,0,0,0,,,0,2,2,,,2,54,54,,,54
,1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0
,1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,91,91,,51,40,43,43,,0,43,89,89,,0,89,166,166,,0,166,88,88,,0,88,41,41,,0,41,65,65,,0,65,126,126,,0,126,45,45,,0,45,82,82,,0,82,31,31,,0,31,35,35,,0,35,902,902,,51,851
,1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0
,1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0
,1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0
,1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0
,2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,2,2,,0,2,3,3,,0,3,15,15,,2,13,10,10,,0,10,4,4,,0,4,15,15,,0,15,12,12,,0,12,10,10,,0,10,0,0,,0,0,4,4,,0,4,8,8,,0,8,7,7,,0,7,90,90,,2,88
,2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,3,3,,0,3,4,4,,0,4,12,12,,0,12,5,5,,0,5,11,11,,0,11,21,21,,1,20,14,14,,0,14,12,12,,0,12,11,11,,2,9,6,6,,0,6,5,5,,0,5,4,4,,0,4,108,108,,3,105
,2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,0,0,,0,0,0,0,,0,0,3,3,,0,3,0,0,,0,0,0,0,,0,0,1,1,,0,1,0,0,,0,0,1,1,,0,1,0,0,,0,0,2,2,,0,2,0,0,,0,0,0,0,,0,0,7,7,,0,7
,2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,4,4,,0,4,5,5,,0,5,18,18,,2,16,4,4,,0,4,0,0,,0,0,1,1,,1,0,5,5,,0,5,5,5,,0,5,1,1,,0,1,2,2,,0,2,3,3,,0,3,5,5,,0,5,53,53,,3,50
,2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,905,753,152,152,753,1045,849,196,196,849,970,846,124,124,846,1103,881,222,222,881,1240,1087,153,153,1087,1376,1186,190,190,1186,1435,1217,218,218,1217,1235,1078,157,157,1078,1127,965,162,162,965,1092,882,210,210,882,927,787,140,140,787,978,884,94,94,884,13433,11415,2018,2018,11415
,2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,473,473,0,0,473,535,535,0,0,535,544,544,0,0,544,548,548,0,0,548,688,688,0,0,688,671,671,0,0,671,767,767,0,0,767,658,658,0,0,658,599,599,0,0,599,486,486,0,0,486,488,488,0,0,488,506,506,0,0,506,6963,6963,0,0,6963
,2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,126,126,,0,126,100,100,,0,100,106,106,,0,106,98,98,,0,98,264,264,,0,264,176,176,,1,175,202,202,,0,202,230,230,,0,230,163,163,,0,163,245,245,,31,214,230,230,,26,204,153,153,,0,153,2093,2093,,58,2035
,3.1,Total C -Section deliveries performed,TOTAL,262,193,69,69,193,416,221,195,195,221,269,198,71,71,198,376,251,125,125,251,363,271,92,92,271,399,277,122,122,277,442,309,133,133,309,394,303,91,91,303,359,257,102,102,257,375,242,133,133,242,317,231,86,86,231,330,280,50,50,280,4302,3033,1269,1269,3033
,3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,61,61,,0,61,80,80,,0,80,75,75,,0,75,79,79,,0,79,76,76,,0,76,71,71,,0,71,108,108,,0,108,90,90,,0,90,105,105,,0,105,91,91,,0,91,85,85,,0,85,102,102,,0,102,1023,1023,,0,1023
,4.1.1.a,Live Birth - Male,TOTAL,468,386,82,82,386,511,408,103,103,408,538,478,60,61,477,577,464,113,113,464,652,577,75,75,577,717,621,96,97,620,733,628,105,105,628,613,536,77,77,536,597,517,80,81,516,568,462,106,106,462,476,405,71,71,405,506,456,50,50,456,6956,5938,1018,1021,5935
,4.1.1.b,Live Birth - Female,TOTAL,458,388,70,70,388,552,459,93,93,459,478,414,64,65,413,527,418,109,109,418,581,503,78,78,503,666,572,94,94,572,717,604,113,113,604,630,550,80,80,550,529,447,82,83,446,529,425,104,104,425,447,378,69,69,378,451,407,44,44,407,6565,5565,1000,1002,5563
,4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,7,7,,0,7,9,9,,0,9,5,5,,0,5,5,5,,0,5,12,12,,0,12,3,3,,0,3,13,13,,0,13,6,6,,0,6,14,14,,0,14,11,11,,0,11,3,3,,0,3,2,2,,0,2,90,90,,0,90
,4.1.3,Still Birth,TOTAL,19,19,,0,19,24,24,,0,24,22,22,,0,22,30,30,,0,30,15,15,,0,15,23,23,,0,23,13,13,,0,13,11,11,,0,11,18,18,,0,18,17,17,,0,17,17,17,,0,17,14,14,,0,14,223,223,,0,223
,4.2,Abortion (spontaneous),TOTAL,22,22,,0,22,38,38,,3,35,30,30,,0,30,20,20,,0,20,19,19,,0,19,17,17,,0,17,32,32,,1,31,15,15,,0,15,11,11,,0,11,12,12,,0,12,17,17,,0,17,17,17,,0,17,250,250,,4,246
,4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,25,25,,0,25,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,85,85,,1,84,41,41,,0,41,74,74,,0,74,89,89,,0,89,72,72,,0,72,94,94,,0,94,480,480,,1,479
,4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,11,11,,0,11,3,3,,0,3,3,3,,0,3,3,3,,0,3,0,0,,0,0,0,0,,0,0,75,75,,0,75,39,39,,0,39,61,61,,0,61,75,75,,0,75,74,74,,0,74,93,93,,0,93,437,437,,0,437
,4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,2,2,,0,2,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,71,71,,0,71,36,36,,0,36,61,61,,0,61,69,69,,0,69,69,69,,0,69,90,90,,0,90,398,398,,0,398
,4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,6,6,,0,6,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,25,25,,0,25,36,36,,0,36,61,61,,0,61,69,69,,0,69,68,68,,0,68,85,85,,0,85,350,350,,0,350
,4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0
,4.4.1,Number of newborns weighed at birth,TOTAL,914,762,152,152,762,1048,852,196,196,852,980,858,122,122,858,1081,859,222,222,859,1226,1073,153,153,1073,1376,1186,190,191,1185,1417,1199,218,218,1199,1239,1082,157,157,1082,1132,970,162,164,968,1097,887,210,210,887,926,786,140,140,786,974,880,94,94,880,13410,11394,2016,2019,11391
,4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,116,116,,0,116,117,117,,0,117,121,121,,0,121,132,132,,0,132,148,148,,0,148,149,149,,0,149,145,145,,0,145,146,146,,0,146,134,134,,0,134,131,131,,0,131,130,130,,0,130,135,135,,0,135,1604,1604,,0,1604
,4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,903,751,152,152,751,1026,830,196,196,830,1027,905,122,171,856,1088,866,222,222,866,1206,1053,153,153,1053,1382,1192,190,191,1191,1419,1201,218,218,1201,1246,1089,157,157,1089,1125,963,162,164,961,1078,868,210,210,868,931,791,140,140,791,989,895,94,94,895,13420,11404,2016,2068,11352
,5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,442,442,,0,442,466,466,,0,466,1,1,,0,1,2,2,,0,2,0,0,,0,0,1,1,,0,1,1,1,,0,1,72,72,,0,72,8,8,,0,8,10,10,,0,10,66,66,,0,66,487,487,,0,487,1556,1556,,0,1556
,5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,86,86,,,86,106,106,,,106,,,,,,,,,,,,,,,,,,,,,0,0,,,0,12,12,,,12,0,0,,,0,0,0,,,0,59,59,,,59,83,83,,,83,346,346,,,346
,6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,319,173,146,174,145,206,206,,14,192,290,290,,32,258,285,285,,25,260,243,243,,16,227,240,240,,20,220,321,321,,15,306,251,251,,13,238,145,145,,16,129,162,162,,17,145,116,116,,15,101,152,152,,22,130,2730,2584,146,379,2351
,6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,954,948,6,73,881,1269,1073,196,303,966,1138,1016,122,203,935,1174,952,222,238,936,1249,1096,153,174,1075,1400,1210,190,202,1198,1670,1452,218,238,1432,1486,1329,157,176,1310,1366,1204,162,180,1186,1303,1093,210,259,1044,1177,1037,140,184,993,1169,1075,94,137,1032,15355,13485,1870,2367,12988
,6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,394,388,6,32,362,576,380,196,224,352,532,410,122,189,343,639,417,222,263,376,638,485,153,200,438,1167,977,190,234,933,1432,1214,218,263,1169,1287,1130,157,189,1098,1232,1070,162,197,1035,1210,1000,210,267,943,1036,896,140,196,840,1052,958,94,155,897,11195,9325,1870,2409,8786
,6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,431,425,6,32,399,571,375,196,224,347,567,445,122,158,409,683,461,222,222,461,739,586,153,200,539,1354,1164,190,234,1120,1618,1400,218,263,1355,1404,1247,157,189,1215,1322,1160,162,197,1125,1309,1099,210,267,1042,1148,1008,140,196,952,1119,1025,94,155,964,12265,10395,1870,2337,9928
,7.1.1,New RTI/STI cases identified - Male,TOTAL,34,34,,0,34,40,40,,0,40,50,50,,0,50,34,34,,0,34,29,29,,0,29,25,25,,0,25,48,48,,2,46,47,47,,0,47,48,48,,0,48,49,49,,0,49,29,29,,0,29,21,21,,0,21,454,454,,2,452
,7.1.2,New RTI/STI cases identified - Female,TOTAL,313,313,,7,306,319,319,,8,311,321,321,,7,314,339,339,,6,333,319,319,,9,310,316,316,,6,310,338,338,,13,325,344,344,,5,339,327,327,,4,323,362,362,,5,357,325,325,,7,318,33,33,,5,28,3656,3656,,82,3574
,7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,34,34,,0,34,40,40,,0,40,50,50,,0,50,33,33,,0,33,32,32,,0,32,25,25,,0,25,38,38,,2,36,45,45,,0,45,48,48,,0,48,49,49,,0,49,29,29,,0,29,21,21,,0,21,444,444,,2,442
,7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,313,313,,7,306,319,319,,8,311,321,321,,7,314,337,337,,6,331,321,321,,9,312,316,316,,6,310,326,326,,13,313,331,331,,5,326,323,323,,0,323,362,362,,5,357,324,324,,7,317,33,33,,5,28,3626,3626,,78,3548
,8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,25,25,,18,7,0,0,,0,0,0,0,,0,0,7,7,,7,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,1,1,,0,1,33,33,,25,8
,8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,19,19,,0,19,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,19,19,,0,19
,8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,0,0,,0,0,0,0,,0,0,2,2,,2,0,61,61,,61,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,88,88,,0,88,49,49,,0,49,36,36,,0,36,24,24,,0,24,260,260,,63,197
,8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,40,40,,0,40,38,38,,0,38,36,36,,0,36,49,49,,0,49,45,45,,0,45,0,0,,0,0,0,0,,0,0,62,62,,0,62,33,33,,0,33,24,24,,0,24,46,46,,0,46,47,47,,0,47,420,420,,0,420
,8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,15,15,,0,15,46,46,,0,46,61,61,,0,61
,8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,13,13,,3,10,10,10,,0,10,4,4,,0,4,4,4,,0,4,5,5,,0,5,2,2,,0,2,5,5,,0,5,18,18,,0,18,0,0,,0,0,0,0,,0,0,3,3,,0,3,5,5,,0,5,69,69,,3,66
,8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,7,7,,0,7,1,1,,0,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,4,4,,0,4,7,7,,0,7,1,1,,0,1,1,1,,0,1,0,0,,0,0,3,3,,0,3,24,24,,0,24
,8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,1,1,,0,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,1,1,,0,1
,8.6,Number of IUCD Removals,TOTAL,0,0,,0,0,0,0,,0,0,1,1,,0,1,0,0,,0,0,1,1,,0,1,0,0,,0,0,0,0,,0,0,2,2,,0,2,0,0,,0,0,3,3,,0,3,4,4,,0,4,2,2,,0,2,13,13,,0,13
,8.7,Number of complications following IUCD Insertion,TOTAL,1,1,,0,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,1,1,,0,1,2,2,,0,2,0,0,,0,0,1,1,,0,1,0,0,,0,0,0,0,,0,0,5,5,,0,5
,8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0
,8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0
,8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0
,8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,6,6,,6,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,6,6,,6,0
